2021-04-14 15:59:32,097 semantic_segmentation INFO: Using 1 GPUs
2021-04-14 15:59:32,097 semantic_segmentation INFO: Namespace(aux=False, aux_weight=0.4, backbone='dualresnet', base_size=1040, batch_size=5, crop_size=1024, data_path='/home/mohi/projects/pytorch-sem-seg/awesome-semantic-segmentation-pytorch/datasets/citys', dataset='citys', device='cuda', distributed=False, epochs=250, jpu=False, local_rank=0, log_dir='runs/logs/', log_iter=10, lr=0.003, model='ddrnet_23', momentum=0.9, nclass=19, no_cuda=False, num_gpus=1, resume=None, save_dir='trained_models/', save_epoch=1, skip_val=False, start_epoch=0, use_ohem=True, val_epoch=1, warmup_factor=0.3333333333333333, warmup_iters=0, warmup_method='linear', weight_decay=0.0001, workers=4)
2021-04-14 15:59:33,663 semantic_segmentation INFO: Start training, Total Epochs: 250 = Total Iterations 148750
2021-04-14 15:59:41,274 semantic_segmentation INFO: Iters: 10/148750 || Lr: 0.003000 || Loss: 3.5440 || Cost Time: 0:00:07 || Estimated Time: 1 day, 6:45:36
2021-04-19 10:29:44,815 semantic_segmentation INFO: Model restored successfully!!!!
2021-04-19 10:29:44,816 semantic_segmentation INFO: Start validation, Total sample: 500
2021-04-19 10:29:53,202 semantic_segmentation INFO: Sample: 61, validation pixAcc: 94.156, mIoU: 65.645
2021-04-19 10:29:53,313 semantic_segmentation INFO: Sample: 62, validation pixAcc: 94.199, mIoU: 65.627
2021-04-19 10:29:53,424 semantic_segmentation INFO: Sample: 63, validation pixAcc: 94.248, mIoU: 65.845
2021-04-19 10:29:53,523 semantic_segmentation INFO: Sample: 64, validation pixAcc: 94.290, mIoU: 66.109
2021-04-19 10:29:53,623 semantic_segmentation INFO: Sample: 65, validation pixAcc: 94.336, mIoU: 66.720
2021-04-19 10:29:53,724 semantic_segmentation INFO: Sample: 66, validation pixAcc: 94.383, mIoU: 66.752
2021-04-19 10:29:53,822 semantic_segmentation INFO: Sample: 67, validation pixAcc: 94.389, mIoU: 68.385
2021-04-19 10:29:53,927 semantic_segmentation INFO: Sample: 68, validation pixAcc: 94.445, mIoU: 68.397
2021-04-19 10:29:54,023 semantic_segmentation INFO: Sample: 69, validation pixAcc: 94.370, mIoU: 68.844
2021-04-19 10:29:54,124 semantic_segmentation INFO: Sample: 70, validation pixAcc: 94.399, mIoU: 68.876
2021-04-19 10:29:54,223 semantic_segmentation INFO: Sample: 71, validation pixAcc: 94.439, mIoU: 68.934
2021-04-19 10:29:54,322 semantic_segmentation INFO: Sample: 72, validation pixAcc: 94.497, mIoU: 71.272
